Category,Code,Descriptor,Code System,Version,Status,Remap Info,RCTC-OID,Definition-version,effective-date,CDS-Hook Events
DIAGNOSIS_PROBLEM,A01.0,Typhoid fever,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A01.00,"Typhoid fever, unspecified",ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A01.01,Typhoid meningitis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A01.02,Typhoid fever with heart involvement,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A01.03,Typhoid pneumonia,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A01.04,Typhoid arthritis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A01.05,Typhoid osteomyelitis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A01.09,Typhoid fever with other complications,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02,Other salmonella infections,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.0,Salmonella enteritis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.1,Salmonella sepsis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.2,Localized salmonella infections,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.20,"Localized salmonella infection, unspecified",ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.21,Salmonella meningitis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.22,Salmonella pneumonia,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.23,Salmonella arthritis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.24,Salmonella osteomyelitis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.25,Salmonella pyelonephritis,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.29,Salmonella with other localized infection,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.8,Other specified salmonella infections,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A02.9,"Salmonella infection, unspecified",ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
DIAGNOSIS_PROBLEM,A37,Whooping cough,ICD10CM,2017,Active,No,2.16.840.1.113762.1.4.1146.627,20170321,7/1/17,lab-order-create
